id,title,title_alt,school_year,program,category,division,composer,arranger,publisher,score_name,performance_note,purchase_note,source_url,source_label,publisher_url,verification_status,last_verified_at,tags,notes
115-qt-001,三拍三曲,,115,口琴四重奏,室內樂合奏-口琴四重奏,國中團體組,林家靖,,林家靖,,全曲演奏,請自行洽詢代訂譜商，例：黃石樂器、音和樂器、狂響逗嘴鼓口琴樂坊,https://web.arte.gov.tw/music/upfile/www/115/115學年度全國學生音樂比賽【決賽】指定曲_團體項目0715.pdf,115學年度團體項目指定曲,https://www.facebook.com/HarmonicaLin/,official-pdf,2026-07-16,四重奏/團體/指定曲,
115-qt-002,A Mam and His Dog,,115,口琴四重奏,室內樂合奏-口琴四重奏,國中團體組,Tommy Reilly,狂響阿E,狂響口琴樂團,,完整演奏,請洽原出版單位(者)或自行洽詢代訂譜商,https://web.arte.gov.tw/music/upfile/www/115/115學年度全國學生音樂比賽【決賽】指定曲_團體項目0715.pdf,115學年度團體項目指定曲,https://www.facebook.com/HarmonicaDrumRhapsody/,official-pdf,2026-07-16,四重奏/團體/指定曲,
115-qt-003,草螟弄雞公,,115,口琴四重奏,室內樂合奏-口琴四重奏,國中團體組,臺灣民謠,茱蒂口琴樂團,茱蒂口琴樂團,,全曲演奏,請洽原出版單位(者)或自行洽詢代訂譜商,https://web.arte.gov.tw/music/upfile/www/115/115學年度全國學生音樂比賽【決賽】指定曲_團體項目0715.pdf,115學年度團體項目指定曲,https://www.facebook.com/Judys.Harmonica.Ensemble/,official-pdf,2026-07-16,四重奏/團體/指定曲,
115-qt-004,Bulgarian Wedding Dance,,115,口琴四重奏,室內樂合奏-口琴四重奏,高中職團體組,James Moody,狂響口琴樂團,狂響口琴樂團,,完整演奏,請洽原出版單位(者)或自行洽詢代訂譜商,https://web.arte.gov.tw/music/upfile/www/115/115學年度全國學生音樂比賽【決賽】指定曲_團體項目0715.pdf,115學年度團體項目指定曲,https://www.facebook.com/HarmonicaDrumRhapsody/,official-pdf,2026-07-16,四重奏/團體/指定曲,
115-qt-005,流浪的吉他,,115,口琴四重奏,室內樂合奏-口琴四重奏,高中職團體組,Trid.,盧鴻麟,黃石口琴樂團,,完整演奏,請洽原出版單位(者)或自行洽詢代訂譜商,https://web.arte.gov.tw/music/upfile/www/115/115學年度全國學生音樂比賽【決賽】指定曲_團體項目0715.pdf,115學年度團體項目指定曲,,official-pdf,2026-07-16,四重奏/團體/指定曲,
115-qt-006,Cello Suite BWV 1007-5. Menuet,,115,口琴四重奏,室內樂合奏-口琴四重奏,高中職團體組,Johann Sebastian Bach,陳瑤容,獨特音樂(The Duet),,全曲演奏,請洽原出版單位(者)或自行洽詢代訂譜商,https://web.arte.gov.tw/music/upfile/www/115/115學年度全國學生音樂比賽【決賽】指定曲_團體項目0715.pdf,115學年度團體項目指定曲,https://www.facebook.com/theduet.music/,official-pdf,2026-07-16,四重奏/團體/指定曲,
115-qt-007,馬車夫舞曲,,115,口琴四重奏,室內樂合奏-口琴四重奏,大專團體組,新疆維吾爾族民謠,廖訓禎,台灣口琴藝術促進會,台灣口琴藝術促進會2016年11月12日編,全曲演奏,請洽原出版單位(者)或自行洽詢代訂譜商,https://web.arte.gov.tw/music/upfile/www/115/115學年度全國學生音樂比賽【決賽】指定曲_團體項目0715.pdf,115學年度團體項目指定曲,,official-pdf,2026-07-16,四重奏/團體/指定曲,
115-qt-008,美麗的多瑙河圓舞曲,,115,口琴四重奏,室內樂合奏-口琴四重奏,大專團體組,小約翰·史特勞斯,盧鴻麟,黃石口琴樂團,,完整演奏,請洽原出版單位(者)或自行洽詢代訂譜商,https://web.arte.gov.tw/music/upfile/www/115/115學年度全國學生音樂比賽【決賽】指定曲_團體項目0715.pdf,115學年度團體項目指定曲,,official-pdf,2026-07-16,四重奏/團體/指定曲,
115-qt-009,Wien bleibt Wien!,,115,口琴四重奏,室內樂合奏-口琴四重奏,大專團體組,Johann Schrammel,茱蒂口琴樂團,茱蒂口琴樂團,,不需反覆,請洽原出版單位(者)或自行洽詢代訂譜商,https://web.arte.gov.tw/music/upfile/www/115/115學年度全國學生音樂比賽【決賽】指定曲_團體項目0715.pdf,115學年度團體項目指定曲,https://www.facebook.com/Judys.Harmonica.Ensemble/,official-pdf,2026-07-16,四重奏/團體/指定曲,
115-ens-001,小蜜蜂變奏曲,,115,口琴合奏,口琴合奏,國小團體組,德國童謠,廖訓禎,台灣口琴樂團,台灣口琴樂團2018年5月11日版,完整演奏,請洽原出版單位(者)或自行洽詢代訂譜商,https://web.arte.gov.tw/music/upfile/www/115/115學年度全國學生音樂比賽【決賽】指定曲_團體項目0715.pdf,115學年度團體項目指定曲,,official-pdf,2026-07-16,合奏/團體/指定曲,
115-ens-002,丘の上の日光-選自Cov Suite No.2,,115,口琴合奏,口琴合奏,國小團體組,playko,,丸玩琴音樂,,完整演奏,請洽原出版單位(者)或自行洽詢代訂譜商,https://web.arte.gov.tw/music/upfile/www/115/115學年度全國學生音樂比賽【決賽】指定曲_團體項目0715.pdf,115學年度團體項目指定曲,https://www.facebook.com/HarpoMusic/,official-pdf,2026-07-16,合奏/團體/指定曲,
115-ens-003,嬉遊曲-選自K226,,115,口琴合奏,口琴合奏,國小團體組,Mozart,丸玩琴音樂,丸玩琴音樂,,完整演奏,請洽原出版單位(者)或自行洽詢代訂譜商,https://web.arte.gov.tw/music/upfile/www/115/115學年度全國學生音樂比賽【決賽】指定曲_團體項目0715.pdf,115學年度團體項目指定曲,https://www.facebook.com/HarpoMusic/,official-pdf,2026-07-16,合奏/團體/指定曲,
115-ens-004,茉莉花變奏曲,,115,口琴合奏,口琴合奏,國中團體組,江蘇民謠,廖訓禎,台灣口琴樂團,台灣口琴樂團合奏曲集111年11月16日版,演奏23~81小節,請洽原出版單位(者)或自行洽詢代訂譜商,https://web.arte.gov.tw/music/upfile/www/115/115學年度全國學生音樂比賽【決賽】指定曲_團體項目0715.pdf,115學年度團體項目指定曲,,official-pdf,2026-07-16,合奏/團體/指定曲,
115-ens-005,Classic Medley,,115,口琴合奏,口琴合奏,國中團體組,R.Wagner/G.Verdi/P. Gynt,陳瑤容,獨特音樂(The Duet)有限公司,,完整演奏,請洽原出版單位(者)或自行洽詢代訂譜商,https://web.arte.gov.tw/music/upfile/www/115/115學年度全國學生音樂比賽【決賽】指定曲_團體項目0715.pdf,115學年度團體項目指定曲,https://www.facebook.com/theduet.music/,official-pdf,2026-07-16,合奏/團體/指定曲,
115-ens-006,四月望雨,,115,口琴合奏,口琴合奏,國中團體組,鄧雨賢,丸玩琴音樂,丸玩琴音樂,,完整演奏,請洽原出版單位(者)或自行洽詢代訂譜商,https://web.arte.gov.tw/music/upfile/www/115/115學年度全國學生音樂比賽【決賽】指定曲_團體項目0715.pdf,115學年度團體項目指定曲,https://www.facebook.com/HarpoMusic/,official-pdf,2026-07-16,合奏/團體/指定曲,
115-ens-007,在雙頭鷹旗下,Under the Double Eagle,115,口琴合奏,口琴合奏,高中職團體組,Josef F. Wagner,廖訓禎,台灣口琴樂團,台灣口琴樂團2016年10月30日版,不反復的完整演奏,請洽原出版單位(者)或自行洽詢代訂譜商,https://web.arte.gov.tw/music/upfile/www/115/115學年度全國學生音樂比賽【決賽】指定曲_團體項目0715.pdf,115學年度團體項目指定曲,,official-pdf,2026-07-16,合奏/團體/指定曲,
115-ens-008,聖多娜之歌,Song Of Sedona,115,口琴合奏,口琴合奏,高中職團體組,Doris Gazda,吳常熙,台中市中華口琴會,,完整演奏,請洽原出版單位(者)或自行洽詢代訂譜商,https://web.arte.gov.tw/music/upfile/www/115/115學年度全國學生音樂比賽【決賽】指定曲_團體項目0715.pdf,115學年度團體項目指定曲,,official-pdf,2026-07-16,合奏/團體/指定曲,
115-ens-009,水上音樂,,115,口琴合奏,口琴合奏,高中職團體組,韓德爾,盧鴻麟,黃石口琴樂團,,完整演奏,請洽原出版單位(者)或自行洽詢代訂譜商,https://web.arte.gov.tw/music/upfile/www/115/115學年度全國學生音樂比賽【決賽】指定曲_團體項目0715.pdf,115學年度團體項目指定曲,,official-pdf,2026-07-16,合奏/團體/指定曲,
115-ens-010,農村酒歌,,115,口琴合奏,口琴合奏,大專團體組,呂泉生,吳常熙,台中市中華口琴會,,完整演奏,請洽原出版單位(者)或自行洽詢代訂譜商,https://web.arte.gov.tw/music/upfile/www/115/115學年度全國學生音樂比賽【決賽】指定曲_團體項目0715.pdf,115學年度團體項目指定曲,,official-pdf,2026-07-16,合奏/團體/指定曲,
115-ens-011,Ask Me Why,,115,口琴合奏,口琴合奏,大專團體組,久石讓,,狂響口琴樂團,,完整演奏,請洽原出版單位(者)或自行洽詢代訂譜商,https://web.arte.gov.tw/music/upfile/www/115/115學年度全國學生音樂比賽【決賽】指定曲_團體項目0715.pdf,115學年度團體項目指定曲,https://www.facebook.com/HarmonicaDrumRhapsody/,official-pdf,2026-07-16,合奏/團體/指定曲,
115-ens-012,The Seasons - June,,115,口琴合奏,口琴合奏,大專團體組,Tchaikovsky,陳瑤容,獨特音樂(The Duet),,全曲演奏,請洽原出版單位(者)或自行洽詢代訂譜商,https://web.arte.gov.tw/music/upfile/www/115/115學年度全國學生音樂比賽【決賽】指定曲_團體項目0715.pdf,115學年度團體項目指定曲,https://www.facebook.com/theduet.music/,official-pdf,2026-07-16,合奏/團體/指定曲,
114-qt-001,孩子的嘉年華,,114,口琴四重奏,室內樂合奏-口琴四重奏,國中團體組,L. Streabbog,盧怡臻,茱蒂口琴樂團,,完整演出,請洽原出版單位(者)：茱蒂口琴樂團或其他代訂譜商,https://web.arte.gov.tw/music/upfile/history/114學年度全國學生音樂比賽指定曲_團體組.pdf,114學年度團體組指定曲,https://www.facebook.com/Judys.Harmonica.Ensemble/,official-pdf,2026-07-03,四重奏/團體/指定曲,
114-qt-002,一步之遙,,114,口琴四重奏,室內樂合奏-口琴四重奏,國中團體組,蘿斯卡德,SIBM盧,台北黃石口琴樂團,,完整演出,請洽原出版單位(者)：台北黃石口琴樂團或其他代訂譜商,https://web.arte.gov.tw/music/upfile/history/114學年度全國學生音樂比賽指定曲_團體組.pdf,114學年度團體組指定曲,,official-pdf,2026-07-03,四重奏/團體/指定曲,
114-qt-003,Santa Lucia (散塔露琪亞),,114,口琴四重奏,室內樂合奏-口琴四重奏,國中團體組,拿坡里民謠,陳鴻儀,獨特音樂(The Duet)有限公司,,完整演出,請洽原出版單位(者)：獨特音樂(The Duet)有限公司或其他代訂譜商,https://web.arte.gov.tw/music/upfile/history/114學年度全國學生音樂比賽指定曲_團體組.pdf,114學年度團體組指定曲,https://www.facebook.com/theduet.music/,official-pdf,2026-07-03,四重奏/團體/指定曲,
114-qt-004,Funny Honey,,114,口琴四重奏,室內樂合奏-口琴四重奏,高中職團體組,林家靖,林家靖,林家靖,,完整演出,請自行洽詢代訂譜商，例：黃石樂器、音和樂器、狂響逗嘴鼓樂坊、各大樂器行等代購譜商或參考官網購譜資訊,https://web.arte.gov.tw/music/upfile/history/114學年度全國學生音樂比賽指定曲_團體組.pdf,114學年度團體組指定曲,https://www.facebook.com/HarmonicaLin/,official-pdf,2026-07-03,四重奏/團體/指定曲,
114-qt-005,More Than I Can Say,愛你在心口難開,114,口琴四重奏,室內樂合奏-口琴四重奏,高中職團體組,Jerry Allison,陳鴻儀,獨特音樂(The Duet)有限公司,,完整演出,請洽原出版單位(者)：獨特音樂(The Duet)有限公司或其他代訂譜商,https://web.arte.gov.tw/music/upfile/history/114學年度全國學生音樂比賽指定曲_團體組.pdf,114學年度團體組指定曲,https://www.facebook.com/theduet.music/,official-pdf,2026-07-03,四重奏/團體/指定曲,
114-qt-006,兩隻吉他,,114,口琴四重奏,室內樂合奏-口琴四重奏,高中職團體組,佚名,SIBM盧,台北黃石口琴樂團,,完整演奏,請洽原出版單位(者)：台北黃石口琴樂團或其他代訂譜商,https://web.arte.gov.tw/music/upfile/history/114學年度全國學生音樂比賽指定曲_團體組.pdf,114學年度團體組指定曲,,official-pdf,2026-07-03,四重奏/團體/指定曲,
114-qt-007,柴達斯舞曲,,114,口琴四重奏,室內樂合奏-口琴四重奏,大專團體組,V. Monti,盧怡臻,盧怡臻／茱蒂口琴樂團,,完整演出,請洽原出版單位(者)或自行洽詢代訂譜商，例：茱蒂口琴樂團,https://web.arte.gov.tw/music/upfile/history/114學年度全國學生音樂比賽指定曲_團體組.pdf,114學年度團體組指定曲,https://www.facebook.com/Judys.Harmonica.Ensemble/,official-pdf,2026-07-03,四重奏/團體/指定曲,
114-qt-008,帽子跳舞,,114,口琴四重奏,室內樂合奏-口琴四重奏,大專團體組,林家靖,林家靖,林家靖,,完整演出,請自行洽詢代訂譜商，例：黃石樂器、音和樂器、狂響逗嘴鼓樂坊、各大樂器行等代購譜商或參考官網購譜資訊,https://web.arte.gov.tw/music/upfile/history/114學年度全國學生音樂比賽指定曲_團體組.pdf,114學年度團體組指定曲,https://www.facebook.com/HarmonicaLin/,official-pdf,2026-07-03,四重奏/團體/指定曲,
114-qt-009,蘇州河邊,,114,口琴四重奏,室內樂合奏-口琴四重奏,大專團體組,陳歌辛,劉志明,高雄市口琴協會,,完整演奏,請洽原出版單位(者)：高雄市口琴協會版,https://web.arte.gov.tw/music/upfile/history/114學年度全國學生音樂比賽指定曲_團體組.pdf,114學年度團體組指定曲,,official-pdf,2026-07-03,四重奏/團體/指定曲,
114-ens-001,幸福的臉,,114,口琴合奏,口琴合奏,國小團體組,魏肇新,彭仁傑,好魔力口琴樂團,,完整演奏,請洽原出版單位：好魔力口琴樂團 harmonpig@yahoo.com.tw 或其他代訂譜商,https://web.arte.gov.tw/music/upfile/history/114學年度全國學生音樂比賽指定曲_團體組.pdf,114學年度團體組指定曲,,official-pdf,2026-07-03,合奏/團體/指定曲,
114-ens-002,Rhythm of the Rain,雨的旋律,114,口琴合奏,口琴合奏,國小團體組,約翰·肯莫斯,陳鴻儀,獨特音樂(The Duet)有限公司,,完整演奏,請洽原出版單位：獨特音樂(The Duet)有限公司或其他代訂譜商,https://web.arte.gov.tw/music/upfile/history/114學年度全國學生音樂比賽指定曲_團體組.pdf,114學年度團體組指定曲,https://www.facebook.com/theduet.music/,official-pdf,2026-07-03,合奏/團體/指定曲,
114-ens-003,123之歌,,114,口琴合奏,口琴合奏,國小團體組,羅杰斯,Jay Lu,台北黃石口琴樂團,,完整演奏,請洽原出版單位：台北黃石口琴樂團或其他代訂譜商,https://web.arte.gov.tw/music/upfile/history/114學年度全國學生音樂比賽指定曲_團體組.pdf,114學年度團體組指定曲,,official-pdf,2026-07-03,合奏/團體/指定曲,
114-ens-004,December,十二月,114,口琴合奏,口琴合奏,國中團體組,P. I. Tchaikovsky,陳瑤容,獨特音樂(The Duet)有限公司,,完整演奏,請洽原出版單位：獨特音樂(The Duet)有限公司或其他代訂譜商,https://web.arte.gov.tw/music/upfile/history/114學年度全國學生音樂比賽指定曲_團體組.pdf,114學年度團體組指定曲,https://www.facebook.com/theduet.music/,official-pdf,2026-07-03,合奏/團體/指定曲,
114-ens-005,Blauer Himmel,碧藍天,114,口琴合奏,口琴合奏,國中團體組,探戈名曲,陳鴻儀,獨特音樂(The Duet)有限公司,,完整演奏,請洽原出版單位：獨特音樂(The Duet)有限公司或其他代訂譜商,https://web.arte.gov.tw/music/upfile/history/114學年度全國學生音樂比賽指定曲_團體組.pdf,114學年度團體組指定曲,https://www.facebook.com/theduet.music/,official-pdf,2026-07-03,合奏/團體/指定曲,
114-ens-006,多瑙河之波,,114,口琴合奏,口琴合奏,國中團體組,伊凡諾維奇,Jay Lu,台北黃石口琴樂團,,完整演奏,請洽原出版單位：台北黃石口琴樂團或其他代訂譜商,https://web.arte.gov.tw/music/upfile/history/114學年度全國學生音樂比賽指定曲_團體組.pdf,114學年度團體組指定曲,,official-pdf,2026-07-03,合奏/團體/指定曲,
114-ens-007,亞買加倫巴,Jamaican Rumba,114,口琴合奏,口琴合奏,高中職團體組,林家靖,林家靖,林家靖,,完整演奏,請自行洽詢代訂譜商，例：黃石樂器、音和樂器、狂響逗嘴鼓樂坊、各大樂器行等代購譜商或參考官網購譜資訊,https://web.arte.gov.tw/music/upfile/history/114學年度全國學生音樂比賽指定曲_團體組.pdf,114學年度團體組指定曲,https://www.facebook.com/HarmonicaLin/,official-pdf,2026-07-03,合奏/團體/指定曲,
114-ens-008,你們是我的星光,,114,口琴合奏,口琴合奏,高中職團體組,Vince,蔡明憲,DMing Studio,,完整演奏(可依照學生程度更改樂譜),請洽原出版單位：DMing Studio或其他代訂譜商,https://web.arte.gov.tw/music/upfile/history/114學年度全國學生音樂比賽指定曲_團體組.pdf,114學年度團體組指定曲,,official-pdf,2026-07-03,合奏/團體/指定曲,
114-ens-009,Decoration of the Christmas Tree,,114,口琴合奏,口琴合奏,高中職團體組,P. I. Tchaikovsky,蔡明勳,獨特音樂(The Duet)有限公司,,完整演奏,請洽原出版單位：獨特音樂(The Duet)有限公司或其他代訂譜商,https://web.arte.gov.tw/music/upfile/history/114學年度全國學生音樂比賽指定曲_團體組.pdf,114學年度團體組指定曲,https://www.facebook.com/theduet.music/,official-pdf,2026-07-03,合奏/團體/指定曲,
114-ens-010,Funiculi Funicula,纜車之歌,114,口琴合奏,口琴合奏,大專團體組,拿坡里民謠,陳鴻儀,獨特音樂(The Duet)有限公司,,完整演奏,請洽原出版單位：獨特音樂(The Duet)有限公司或其他代訂譜商,https://web.arte.gov.tw/music/upfile/history/114學年度全國學生音樂比賽指定曲_團體組.pdf,114學年度團體組指定曲,https://www.facebook.com/theduet.music/,official-pdf,2026-07-03,合奏/團體/指定曲,
114-ens-011,蝶戀花,,114,口琴合奏,口琴合奏,大專團體組,洪一峰,SIBM盧,台北黃石口琴樂團,,完整演奏,請洽原出版單位：台北黃石口琴樂團或其他代訂譜商,https://web.arte.gov.tw/music/upfile/history/114學年度全國學生音樂比賽指定曲_團體組.pdf,114學年度團體組指定曲,,official-pdf,2026-07-03,合奏/團體/指定曲,
114-ens-012,瑤族舞曲,,114,口琴合奏,口琴合奏,大專團體組,劉鐵山,廖訓禎,台灣口琴藝術促進會,,完整演奏,請洽原出版單位(者)藍樂吉有限公司(台灣口琴藝術促進會)或其他代訂譜商,https://web.arte.gov.tw/music/upfile/history/114學年度全國學生音樂比賽指定曲_團體組.pdf,114學年度團體組指定曲,,official-pdf,2026-07-03,合奏/團體/指定曲,
113-ind-001,四季紅,,113,口琴獨奏,口琴獨奏,國小組,鄧雨賢,陳鴻儀,獨特音樂(The Duet)工作室,四季紅,全曲演奏,請洽獨特音樂(The Duet)有限公司,https://web.arte.gov.tw/music/upfile/history/113學年度全國學生音樂比賽指定曲_個人組.pdf,113學年度個人組指定曲,https://www.facebook.com/theduet.music/,official-pdf,2026-07-03,個人/指定曲,
113-ind-002,花非花,,113,口琴獨奏,口琴獨奏,國中組,黃自,陳鴻儀,獨特音樂(The Duet)工作室,花非花,全曲演奏,請洽獨特音樂(The Duet)有限公司,https://web.arte.gov.tw/music/upfile/history/113學年度全國學生音樂比賽指定曲_個人組.pdf,113學年度個人組指定曲,https://www.facebook.com/theduet.music/,official-pdf,2026-07-03,個人/指定曲,
113-ind-003,別離曲,,113,口琴獨奏,口琴獨奏,高中職組,F. F. Chopin,蕭莉君,臺北黃石口琴樂團,,全曲演奏,請洽臺北黃石口琴樂團,https://web.arte.gov.tw/music/upfile/history/113學年度全國學生音樂比賽指定曲_個人組.pdf,113學年度個人組指定曲,,official-pdf,2026-07-03,個人/指定曲,
113-ind-004,La Vie en Rose,玫瑰人生,113,口琴獨奏,口琴獨奏,大專組,法國香頌,陳鴻儀,獨特音樂(The Duet)工作室,,全曲演奏,請洽獨特音樂(The Duet)有限公司,https://web.arte.gov.tw/music/upfile/history/113學年度全國學生音樂比賽指定曲_個人組.pdf,113學年度個人組指定曲,https://www.facebook.com/theduet.music/,official-pdf,2026-07-03,個人/指定曲,
hist-ind-082-001,甜蜜的家庭,,82,口琴獨奏,口琴獨奏,兒童（複賽）,,楊樹林,,,,,https://web.arte.gov.tw/music/upfile/history/個人/口琴獨奏.xls,官方歷年指定曲目 XLS：口琴獨奏,,official-xls,2026-07-03,個人/歷年指定曲,
hist-ind-082-002,蘇武牧羊,,82,口琴獨奏,口琴獨奏,兒童（決賽）,,楊樹林,,,,,https://web.arte.gov.tw/music/upfile/history/個人/口琴獨奏.xls,官方歷年指定曲目 XLS：口琴獨奏,,official-xls,2026-07-03,個人/歷年指定曲,
hist-ind-082-003,科羅拉多之月,,82,口琴獨奏,口琴獨奏,少年（複賽）,,楊樹林,,,,,https://web.arte.gov.tw/music/upfile/history/個人/口琴獨奏.xls,官方歷年指定曲目 XLS：口琴獨奏,,official-xls,2026-07-03,個人/歷年指定曲,
hist-ind-082-004,嘉禾特舞,,82,口琴獨奏,口琴獨奏,少年（決賽）,,楊樹林,,,,,https://web.arte.gov.tw/music/upfile/history/個人/口琴獨奏.xls,官方歷年指定曲目 XLS：口琴獨奏,,official-xls,2026-07-03,個人/歷年指定曲,
hist-ind-082-005,拿波里之歌,,82,口琴獨奏,口琴獨奏,青少年（複賽）,,盧鴻麟,,,,,https://web.arte.gov.tw/music/upfile/history/個人/口琴獨奏.xls,官方歷年指定曲目 XLS：口琴獨奏,,official-xls,2026-07-03,個人/歷年指定曲,
hist-ind-082-006,桑塔露琪亞,,82,口琴獨奏,口琴獨奏,青少年（決賽）,,陳鴻儀,,,,,https://web.arte.gov.tw/music/upfile/history/個人/口琴獨奏.xls,官方歷年指定曲目 XLS：口琴獨奏,,official-xls,2026-07-03,個人/歷年指定曲,
hist-ind-082-007,桂河大橋,,82,口琴獨奏,口琴獨奏,成人（複賽）,,陳鴻儀,,,,,https://web.arte.gov.tw/music/upfile/history/個人/口琴獨奏.xls,官方歷年指定曲目 XLS：口琴獨奏,,official-xls,2026-07-03,個人/歷年指定曲,
hist-ind-082-008,美麗的陽光,,82,口琴獨奏,口琴獨奏,成人（決賽）,,盧鴻麟,,,,,https://web.arte.gov.tw/music/upfile/history/個人/口琴獨奏.xls,官方歷年指定曲目 XLS：口琴獨奏,,official-xls,2026-07-03,個人/歷年指定曲,
