source_name,source_type,url,platform,score_title,composer,arranger,instrumentation,format,purchase_method,price,availability,evidence_url,last_seen_at,rights_note
黃石樂器,商店,https://harmonica.tw/,Website,佐藤秀廊複音口琴獨奏曲集 第二集,佐藤秀廊,,複音口琴獨奏,紙本曲集,黃石樂器商品頁線上購買,NT$850,可購買,https://harmonica.tw/product/hidero-sato-2/,2026-07-03,只收錄商品 metadata 與購買頁；不收錄或轉載樂譜內容
黃石樂器,商店,https://harmonica.tw/,Website,佐藤秀廊複音口琴獨奏曲集 第三集,佐藤秀廊,,複音口琴獨奏,紙本曲集,黃石樂器商品頁線上購買,NT$850,可購買,https://harmonica.tw/product/hidero-sato-3/,2026-07-03,只收錄商品 metadata 與購買頁；不收錄或轉載樂譜內容
黃石樂器,商店,https://harmonica.tw/product-category/books/,Website,口琴大全-複音初級教本(麥書文化/李孝明編著),,李孝明,複音口琴,紙本教材,黃石樂器商品分類頁查詢,NT$360,可購買,https://harmonica.tw/product-category/books/,2026-07-03,只收錄商品 metadata 與分類頁；不收錄或轉載樂譜內容
黃石樂器,商店,https://harmonica.tw/,Website,〖口琴大全系列〗複音中高級版(李孝明編著),,李孝明,複音口琴,紙本教材,黃石樂器商品頁線上購買,NT$600,可購買,https://harmonica.tw/product/%E5%8F%A3%E7%90%B4%E5%A4%A7%E5%85%A8%E8%A4%87%E9%9F%B3%E4%B8%AD%E9%AB%98%E7%B4%9A/,2026-07-03,只收錄商品 metadata 與購買頁；不收錄或轉載樂譜內容
黃石樂器,商店,https://harmonica.tw/product-category/books/,Website,〖口琴大全系列〗十孔口琴入門(李孝明編著),,李孝明,十孔口琴,紙本教材,黃石樂器商品分類頁查詢,NT$300,可購買,https://harmonica.tw/product-category/books/,2026-07-03,只收錄商品 metadata 與分類頁；不收錄或轉載樂譜內容
黃石樂器,商店,https://harmonica.tw/product-category/books/,Website,〖口琴大全系列〗複音口琴初級本(李孝明編著),,李孝明,複音口琴,紙本教材,黃石樂器商品分類頁查詢,NT$500,可購買,https://harmonica.tw/product-category/books/,2026-07-03,只收錄商品 metadata 與分類頁；不收錄或轉載樂譜內容
黃石樂器,商店,https://harmonica.tw/product-category/books/,Website,NEXT! 半音階口琴 (田中光榮編著),,田中光榮,半音階口琴,紙本教材,黃石樂器商品分類頁查詢,"NT$1,100",可購買,https://harmonica.tw/product-category/books/,2026-07-03,只收錄商品 metadata 與分類頁；不收錄或轉載樂譜內容
黃石樂器,商店,https://harmonica.tw/product-category/books/,Website,和谷泰扶 半音階口琴名曲集 入門篇,和谷泰扶,,半音階口琴,紙本曲集,黃石樂器商品分類頁查詢,NT$850,可購買,https://harmonica.tw/product-category/books/,2026-07-03,只收錄商品 metadata 與分類頁；不收錄或轉載樂譜內容
黃石樂器,商店,https://harmonica.tw/product-category/books/,Website,和谷泰扶 半音階口琴教本 入門篇,,和谷泰扶,半音階口琴,紙本教材,黃石樂器商品分類頁查詢,NT$850,可購買,https://harmonica.tw/product-category/books/,2026-07-03,只收錄商品 metadata 與分類頁；不收錄或轉載樂譜內容
黃石樂器,商店,https://harmonica.tw/product-category/books/page/2/,Website,一定有你想吹的曲子 複音口琴曲集（山口牧編著）,山口牧,,複音口琴,紙本曲集,黃石樂器商品分類頁查詢,NT$600,可購買,https://harmonica.tw/product-category/books/page/2/,2026-07-03,只收錄商品 metadata 與分類頁；不收錄或轉載樂譜內容
黃石樂器,商店,https://harmonica.tw/product-category/books/page/2/,Website,一定有你想吹的曲子 十孔口琴曲集（山口牧編著）,山口牧,,十孔口琴,紙本曲集,黃石樂器商品分類頁查詢,NT$600,可購買,https://harmonica.tw/product-category/books/page/2/,2026-07-03,只收錄商品 metadata 與分類頁；不收錄或轉載樂譜內容
黃石樂器,商店,https://harmonica.tw/product-category/books/page/2/,Website,更多！一定有你想吹的曲子 十孔口琴曲集（山口牧編著）,山口牧,,十孔口琴,紙本曲集,黃石樂器商品分類頁查詢,NT$600,可購買,https://harmonica.tw/product-category/books/page/2/,2026-07-03,只收錄商品 metadata 與分類頁；不收錄或轉載樂譜內容
黃石樂器,商店,https://harmonica.tw/product-category/books/page/2/,Website,Tommy Reilly Studies for Chromatic Harmonica,Tommy Reilly,,半音階口琴,紙本練習本,黃石樂器商品分類頁查詢,"NT$1,100",可購買,https://harmonica.tw/product-category/books/page/2/,2026-07-03,只收錄商品 metadata 與分類頁；不收錄或轉載樂譜內容
黃石樂器,商店,https://harmonica.tw/product-category/books/page/2/,Website,Chromatic Harmonica Lesson Book Grade 1,Chan Kit Yip,,半音階口琴,紙本教材,黃石樂器商品分類頁查詢,NT$300,已售完,https://harmonica.tw/product-category/books/page/2/,2026-07-03,只收錄商品 metadata 與分類頁；不收錄或轉載樂譜內容
黃石樂器,商店,https://harmonica.tw/product/chromatic-harmonica-lesson-book-grade-2/,Website,Chromatic Harmonica Lesson Book Grade 2,Evelyn Choong 鐘雪兒,,半音階口琴,紙本教材,黃石樂器商品頁線上購買,NT$300,可購買,https://harmonica.tw/product/chromatic-harmonica-lesson-book-grade-2/,2026-07-03,只收錄商品 metadata 與購買頁；不收錄或轉載樂譜內容
黃石樂器,商店,https://harmonica.tw/product-category/books/page/2/,Website,Chromatic Harmonica Lesson Book Grade 3,Evelyn Choong 鐘雪兒,,半音階口琴,紙本教材,黃石樂器商品分類頁查詢,NT$300,可購買,https://harmonica.tw/product-category/books/page/2/,2026-07-03,只收錄商品 metadata 與分類頁；不收錄或轉載樂譜內容
Rolabo Lin 林家靖,演奏者／作曲者,https://www.facebook.com/HarmonicaLin/,Facebook,林家靖原創／改編作品與譜集追蹤入口,林家靖,林家靖,複音、半音階、低音口琴,社群公告,Facebook 粉專或商品頁追蹤,,洽詢,https://www.facebook.com/HarmonicaLin/,2026-07-03,只收錄公開粉專與譜源線索；不收錄或轉載樂譜內容
林家靖 Rolabo Lin,演奏者／作曲者,https://www.musix.com.tw/news-detail/tombo-harmonica-artist-rolabo-lin/,Website,林家靖出版譜集與作品量佐證,林家靖,林家靖,複音、半音階、低音口琴,人物／作品介紹,以公開介紹回溯譜集與洽詢入口,,公開索引,https://www.musix.com.tw/news-detail/tombo-harmonica-artist-rolabo-lin/,2026-07-03,只收錄公開人物介紹中的作品與出版線索；不收錄或轉載樂譜內容
狂響逗嘴鼓口琴樂坊,工作室／洽詢入口,https://www.facebook.com/HarmonicaDrumRhapsody/,Facebook,口琴樂譜、教本、委託編曲與簡譜製作洽詢入口,,,複音、半音階、合奏,社群公告,Facebook 粉專洽詢,,洽詢,https://www.facebook.com/HarmonicaDrumRhapsody/mentions/,2026-07-03,只收錄公開粉專服務項目與洽詢入口；不收錄或轉載樂譜內容
狂響逗嘴鼓口琴樂坊,工作室／洽詢入口,https://www.facebook.com/HarmonicaDrumRhapsody/,Facebook,口琴樂譜、口琴專輯 MP3、相關教本販售入口,,,複音、半音階、合奏,社群公告,Facebook 粉專洽詢,,洽詢,https://m.facebook.com/HarmonicaDrumRhapsody/community/?mt_nav=0&ref=page_internal,2026-07-03,只收錄公開粉專服務項目與洽詢入口；不收錄或轉載樂譜內容
HAPA 台灣口琴藝術促進會,協會／出版線索,https://www.facebook.com/HAPATAIWAN/,Facebook,全國音樂比賽指定曲譜電子檔販售公告,,,複音、四重奏、合奏,電子樂譜公告,依公開貼文洽詢或購買,,可洽詢,https://www.facebook.com/HAPATAIWAN/photos/%E6%9C%80%E6%96%B0%E5%B9%B4%E5%BA%A6%E7%9A%84%E5%85%A8%E5%9C%8B%E9%9F%B3%E6%A8%82%E6%AF%94%E8%B3%BD%E6%8C%87%E5%AE%9A%E6%9B%B2%E8%AD%9C%E5%87%BA%E7%88%90%E5%9B%89%E6%9C%AC%E6%9C%83%E5%A7%94%E8%A8%97%E8%97%8D%E6%A8%82%E5%90%89%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E8%B2%A9%E5%94%AE%E6%A8%82%E8%AD%9C%E5%83%85%E8%B2%A9%E5%94%AE%E9%9B%BB%E5%AD%90%E6%AA%94%E8%B3%BC%E8%B2%B7%E6%96%B9%E5%BC%8F%E5%8C%AF%E6%AC%BE%E9%8A%80%E8%A1%8C%E5%85%83%E5%A4%A7%E9%8A%80%E8%A1%8C%E5%B9%B3%E9%8E%AE%E5%88%86%E8%A1%8C%E5%B8%B3%E6%88%B6%E8%97%8D%E6%A8%82%E5%90%89%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%B8%B3%E8%99%9F20092000108806/1466421998832075/,2026-07-03,只收錄公開販售公告與洽詢線索；不收錄匯款細節或樂譜內容
獨特音樂 The Duet,工作室／出版線索,https://www.facebook.com/theduet.music/,Facebook,口琴四重奏與口琴大合奏樂譜販售公告,,獨特音樂 The Duet,口琴四重奏、口琴大合奏,樂譜販售公告,Facebook 粉專公告洽詢,"NT$1,600-2,000",可洽詢,https://www.facebook.com/theduet.music/photos/1641039634694201/,2026-07-03,只收錄公開販售公告 metadata；不收錄或轉載樂譜內容
獨特音樂 The Duet,工作室／洽詢入口,https://www.facebook.com/theduet.music/,Facebook,獨特音樂編曲作品與樂譜洽詢入口,,獨特音樂 The Duet,口琴四重奏、口琴大合奏,社群公告,Facebook 粉專洽詢,,洽詢,https://www.facebook.com/theduet.music/,2026-07-03,只收錄公開粉專與洽詢入口；不收錄或轉載樂譜內容
Judy's Harmonica Ensemble,團隊／出版線索,https://www.facebook.com/Judys.Harmonica.Ensemble/,Facebook,口琴獨奏與四重奏樂譜販售公告,,Judy's Harmonica Ensemble,口琴獨奏、口琴四重奏,樂譜販售公告,Facebook 粉專公告洽詢,NT$200-250,可洽詢,https://www.facebook.com/Judys.Harmonica.Ensemble/,2026-07-03,只收錄公開販售公告 metadata；不收錄或轉載樂譜內容
丸玩琴音樂,工作室／洽詢入口,https://www.facebook.com/HarpoMusic/,Facebook,合奏樂譜 PDF 與 MP3 公告,,丸玩琴音樂,口琴合奏,PDF／MP3 公告,Facebook 粉專洽詢,,可洽詢,https://www.facebook.com/HarpoMusic/photos/1299577372178289/,2026-07-03,只收錄公開販售公告 metadata；不收錄或轉載樂譜內容
丸玩琴音樂,工作室／洽詢入口,https://www.facebook.com/HarpoMusic/,Facebook,丸玩琴音樂教學與編曲作品追蹤入口,,丸玩琴音樂,複音、合奏,社群公告,Facebook 粉專洽詢,,洽詢,https://www.facebook.com/HarpoMusic/,2026-07-03,只收錄公開粉專與洽詢入口；不收錄或轉載樂譜內容
茒永泰 臺灣口琴藝術,教學／資料入口,https://sites.google.com/site/106myt/home,Google Sites,臺灣口琴藝術資料與教學入口,茒永泰,茒永泰,複音口琴,網站資料,Google Site 查詢,,公開索引,https://sites.google.com/site/106myt/02ying-yin,2026-07-03,只收錄公開網站與資料入口；不收錄或轉載樂譜內容
天狼星口琴樂團,團隊／追蹤入口,https://www.facebook.com/SiriusHarp/,Facebook,天狼星口琴樂團作品與譜源追蹤入口,,,口琴重奏,社群入口,Facebook 粉專追蹤,,待確認,https://www.facebook.com/SiriusHarp/,2026-07-03,只收錄公開粉專作為待查譜源入口；不收錄或轉載樂譜內容
台中市中華口琴會,協會／追蹤入口,https://www.facebook.com/people/%E5%8F%B0%E4%B8%AD%E5%B8%82%E4%B8%AD%E8%8F%AF%E5%8F%A3%E7%90%B4%E6%9C%83/100063672639980/,Facebook,台中市中華口琴會譜源追蹤入口,,,複音、合奏,社群入口,Facebook 粉專追蹤,,待確認,https://www.facebook.com/people/%E5%8F%B0%E4%B8%AD%E5%B8%82%E4%B8%AD%E8%8F%AF%E5%8F%A3%E7%90%B4%E6%9C%83/100063672639980/,2026-07-03,只收錄公開粉專作為待查譜源入口；不收錄或轉載樂譜內容
