public_id,name,name_en,type,country,region,focus,instruments,role,fb_url,ig_url,youtube_url,x_url,threads_url,tiktok_url,website_url,opentix_query,keywords
12,臺灣口琴樂團,Taiwan Harmonica Ensemble,團體,臺灣,臺灣,1998成立/THE-22/合奏/公開演出/指定曲出版,口琴合奏,演出團體,,,,,,,https://ntualumnibm.ntu.edu.tw/bm.bimonthly.article/detail/sn/4169,,臺灣口琴樂團 Taiwan Harmonica Ensemble THE-22 廖訓禎
13,DoNuts 口琴樂團,DoNuts Harmonica Ensemble,團體,臺灣,臺灣,臺灣青年口琴重奏/跨曲風舞台演出/影音作品,口琴重奏/合奏,演出團體/影音來源,https://www.facebook.com/harpDoNuts/,https://www.instagram.com/donuts_harmonica/,https://www.youtube.com/@harpdonuts,,,,,口琴,DoNuts 口琴樂團 DoNuts Harmonica Ensemble Taiwan
14,mr.Why 花影樂團,mr.Why,團體,臺灣,臺灣,跨界/流行/李讓相關,口琴/跨界,演出團體,https://www.facebook.com/Mr.WhyWhy/,https://www.instagram.com/mr.why.why/,https://www.youtube.com/c/MrWhyOfficialChannel/videos,,,,https://portaly.cc/mr.Why,口琴,mr.Why 花影樂團 李讓
15,口琴好南合奏樂團,Harmonica Is Difficult Orchestra,團體,臺灣,臺灣,南部口琴合奏/THMF 2026大合奏公開組並列季軍,口琴大合奏,演出團體,https://www.facebook.com/HarmonicaIsDifficultOrchestra/,https://www.instagram.com/sodifficult_harmonica/,https://www.youtube.com/@%E5%8F%A3%E7%90%B4%E5%A5%BD%E5%8D%97,,,,,口琴,口琴好南合奏樂團 THMF 2026 大合奏 公開組 季軍
16,Dr. Blue 口琴樂團,Dr. Blue Harmonica Ensemble,團體,臺灣,臺灣/臺北,源自台大藍聲口琴社/青年口琴重奏與合奏/推廣口琴音樂/精進樂團合奏能力/2023臺灣口琴音樂節小合奏公開組首獎/年度專場音樂會,半音階口琴/低音口琴/和弦口琴/口琴重奏與合奏,青年演出團體/大學校友樂團/臺灣口琴音樂節得獎團體,https://www.facebook.com/dr.blueharmonica/,https://www.instagram.com/dr.blue_harmonica/,https://www.youtube.com/channel/UCvHln_2aWplJqbfO_9aPatw,,,,https://drblue.kktix.cc/,口琴,Dr. Blue 口琴樂團 NTU Blue Sound 臺大藍聲 THMF 2023 首獎 重奏 合奏 年度音樂會
17,111 Trio / 111 Quintet,111 Quintet,團體,臺灣,臺灣,口琴與鋼琴弦樂室內樂/2025 WHF公開組111 Duo冠軍與111 Quintet亞軍/跨編制演出,半音階口琴/鋼琴/弦樂,國際演出團體/室內樂企劃,https://www.facebook.com/111triotaiwan/,https://www.instagram.com/111quintet/,https://www.youtube.com/channel/UCyCPSbKpVa9oaAAqCRjcvZA,,,,https://www.opentix.life/event/2032309659700649985,口琴,111 Trio 111 Duo 111 Quintet WHF 2025 champion second place chamber music
18,Up Side Down,Up Side Down Harmonica Ensemble,團體,臺灣,臺灣,大學生新生代五人重奏/陳奕、謝侑恩、蔡佳紜、蔡景玫、郭義駿/影音與活動演出,半音階口琴/低音口琴/和弦口琴,青年演出團體/影音來源,,https://www.instagram.com/usd_harmonica/,https://www.youtube.com/@UpSideDownharmonicaensemble,,https://www.threads.net/@usd_harmonica,,,口琴,Up Side Down Harmonica Ensemble 陳奕 謝侑恩 蔡佳紜 蔡景玫 郭義駿
19,BBG 口琴三重奏,BBG Harmonica Trio,團體,臺灣,臺灣,臺中系青年演奏者/THMF 2024,口琴三重奏,演出團體,,,,,,,https://www.taiwanharmonica.com/,,BBG 口琴三重奏 BBG H. E. THMF 2024
20,Miss H. 口琴樂團,Miss H. Harmonica Ensemble,團體,臺灣,臺灣/臺北,2015成立/萬興國小系/青年重奏/公開演出,口琴重奏,演出團體,,,,,,,https://mx.nthu.edu.tw/~ymchen/sirius/pic/2016star.pdf,,Miss H. 口琴樂團 萬興國小 吳采容 Lady NaNa
21,Orion 口琴樂團,Orion Harmonica Ensemble,團體,臺灣,臺灣,青少年室內樂/WHF 2025/張晁滕/陳瑤容,口琴重奏,演出團體,,,,,,,https://tixfun.com/UTK0201_?PRODUCT_ID=Q025T5HU,,Orion 口琴樂團 WHF 2025 張晁滕 陳瑤容
22,Spotlight 口琴樂團,Spotlight Harmonica Ensemble,團體,臺灣,臺灣/彰化,2015成立/中山國小與陽明國中口琴團系統/六人重奏/流行、古典、民謠與Funky跨曲風,口琴重奏/合奏,青年演出團體/校園口琴培育系統延伸,https://www.facebook.com/people/Spotlight-Harmonica-Ensemble/100070066273672/,,,,,,,口琴,Spotlight 口琴樂團 彰化 中山國小 陽明國中 2015 funky
23,Baba & Needem,Baba & Needem,團體,臺灣,臺灣/臺南,口琴二重奏/教學/演出/2018 SIHF 二重奏冠軍/2025 WHF Outstanding,口琴二重奏,演出團體,,,,,,,https://www.taiwanharmonica.com/2026artists-midday,,Baba Needem 巴巴口琴坊 臺南 口琴 二重奏 THMF SIHF WHF
24,口琴愛樂集,Philharmonica,團體/社群,臺灣,臺灣,2004由沈雕龍創立/青年半音階口琴演奏者交流/重奏與合奏/演出資訊,半音階口琴/口琴重奏,演出團體/青年交流社群/活動資訊來源,https://www.facebook.com/philharmonica.fans/,,,,,,,口琴,口琴愛樂集 Philharmonica 沈雕龍 2004 青年 半音階
25,頭殼口琴樂團,Brain Horizon,團體,臺灣,臺灣/新竹,2012年由清大與交大口琴人創團/古典、流行與自編口琴重奏/跨樂器演出/2014亞太口琴節5至16人小合奏公開組冠軍/2015成大盃小合奏冠軍與臺灣國際口琴藝術節菁英賽亞軍,半音階口琴/低音口琴/和弦口琴/口琴重奏,演出團體/編曲團隊/亞太口琴節冠軍團體,https://www.facebook.com/BrainHorizonHARP/,,https://www.youtube.com/@brainhorizon570,,,,,口琴,頭殼口琴樂團 Brain Horizon Harmonica Ensemble 清大 交大 2012 APHF 2014 冠軍 成大盃 2015 TIHF 重奏 編曲
26,Laelaps 口琴,Laelaps Harmonica,品牌/工作室,臺灣,臺灣/新竹,2018年於臺灣創立/張晁滕與蔡明憲共同製琴/依演奏者需求客製半音階口琴/手工調校氣密性、簧片靈敏度、吹嘴與按鍵/12、14、16孔Stellar系列/國際演奏者俱樂部,12孔/14孔/16孔半音階口琴/客製口琴,臺灣口琴品牌/手工製琴工作室/演奏者與教育者共同創辦,https://www.facebook.com/laelapsharmonica/,https://www.instagram.com/laelapsharmonica/,https://www.youtube.com/@laelapsharmonica,,https://www.threads.net/@laelapsharmonica,,https://laelapsharmonica.com/zh/about/,口琴,Laelaps 口琴 Laelaps Harmonica 2018 張晁滕 Jordan 蔡明憲 DMing Stellar 48 56 64 半音階 客製 手工製琴 氣密 簧片靈敏度
27,音和樂器,PeaceTones Harmonica,樂器行/口琴專賣店,臺灣,臺灣/臺北,口琴器材/活動資訊/口琴買賣/維修保養/教學服務,口琴,器材/教學來源,https://www.facebook.com/PeaceTones.harmonica/,https://www.instagram.com/peacetones.harmonica/,https://www.youtube.com/@peacetonesharmonica,,,,https://0223120930.web66.com.tw/web/SEC?Code=&sortType=J,口琴,音和樂器 PeaceTones Harmonica 口琴專賣店 口琴 維修 教學
28,簧格音樂有限公司,Harmonistory Music Co. Ltd.,單位,臺灣,臺灣,協辦/製作/青年音樂家,口琴/室內樂,協辦/活動來源,,,,,,,https://portaly.cc/harmonistory,口琴,簧格音樂 口琴
29,The Duet 獨特音樂,The Duet,單位,臺灣,臺灣,協辦/製作/跨界音樂,室內樂/跨界,協辦/活動來源,https://www.facebook.com/theduet.music/,https://www.instagram.com/theduet.music/,https://www.youtube.com/@TheDuetMusic,,,,https://theduet-music.com/,口琴,The Duet 獨特音樂 口琴
30,蔡明憲,Ming-Sian Cai,個人,臺灣,臺灣,天狼星/Laelaps/教學/硬體/演出,和弦/重奏,演出人員/教學者,https://www.facebook.com/dming.tsai/,https://www.instagram.com/damingtsai/,,,,,https://dming.co/,口琴,蔡明憲 口琴 DMing Studio
31,張晁滕,Chao-Teng Chang,個人,臺灣,臺灣,天狼星/Laelaps/教學/演出,重奏/教學,演出人員/教學者,https://www.facebook.com/chaotengchang/,https://www.instagram.com/chaotengchang/,https://www.youtube.com/@ChaotengChang,,,,https://chaotengchang.blogspot.com/2014/06/blog-post.html,口琴,張晁滕 口琴
32,陳彥銘,Yen-Ming Emery Chen,個人,臺灣,臺灣,天狼星/THMF/和弦口琴/推廣,和弦/重奏,演出人員/推廣者,https://www.facebook.com/emerychen.cm/,https://www.instagram.com/yenmingchen/,,,,,https://mx.nthu.edu.tw/~ymchen/sirius/CT.htm,口琴,陳彥銘 口琴 天狼星 THMF
33,黃冠誌,Kuan-Chih Huang,個人,臺灣,臺灣,天狼星/胖擊口琴樂團團長/和弦口琴/THMF 2026/WHF與SIHF重奏,和弦口琴/重奏,演出人員/教育者/重奏團長,,https://www.instagram.com/hk91f06/,https://www.youtube.com/@%E9%BB%83%E5%86%A0%E8%AA%8C,,,,https://harmonica.tw/course/kuanchih/,口琴,黃冠誌 口琴 胖擊 Punch THMF 2026 WHF SIHF 和弦
34,王衍華,Yen-Hua Wang,個人,臺灣,臺灣,天狼星/胖擊口琴樂團/半音階/THMF 2026/WHF與SIHF重奏,半音階口琴/重奏,演出人員/重奏團員,,https://www.instagram.com/yenhua_wang/,https://www.youtube.com/@keriw128,,https://www.threads.net/@yenhua_wang,,https://portaly.cc/yenhua_wang,口琴,王衍華 口琴 胖擊 Punch THMF 2026 WHF SIHF 半音階
35,陳奕翔,Yi-Hsiang Chen,個人,臺灣,臺灣/新竹,天狼星口琴樂團半音階口琴手/2008年加入天狼星/國北師芝山口琴社與成功大學口琴社教學/北師附小口琴社指導/亞太、全國與重奏賽獲獎/隨團參與世界與國際口琴節演出,半音階口琴/口琴重奏,演出人員/學校社團指導/天狼星口琴樂團成員,https://www.facebook.com/aria0831/,,,,,,https://mx.nthu.edu.tw/~ymchen/sirius/QQ.htm,口琴,陳奕翔 陳Q Yi-Hsiang Chen 天狼星口琴樂團 半音階 2008 APHF WHF 重奏 教學
36,莊筑迪,Judy Chuang,個人,臺灣,臺灣/臺北,茱蒂口琴樂團團長/國內外公開演出逾400場/2004亞太口琴節三項冠軍/2013世界口琴節三重奏冠軍/2003起擔任全國學生音樂比賽評審/2017世界口琴節評審與演出嘉賓,半音階口琴/複音口琴/十孔口琴/和弦口琴/口琴重奏,國際演出人員/教育者/賽事評審/樂團團長,https://www.facebook.com/chuti.chuang/,https://www.instagram.com/judygigo/,,,https://www.threads.net/@judygigo,,https://harmonica.tw/course/judy/,口琴,莊筑迪 Judy Chuang 茱蒂口琴樂團 Judy's Harmonica Ensemble APHF 2004 WHF 2013 冠軍 2017 評審
37,陳晟禕,Sheng-Yi Chen,個人,臺灣,臺灣/高雄,半音階口琴/狂響口琴樂團創團與團長/社區大學教學/編曲,半音階口琴,演出人員/教育者/編曲者,https://www.facebook.com/chen.cheng.yi.487430/,,,,,,https://kaohsiungmusichall.kcg.gov.tw/home02.aspx?AP=%245201_DATE-112%2F12%2F23%5E%245201_START-1900%5E%245201_END-2100&DATA=35177&EXEC=D&ID=%245201&IDK=2,,陳晟禕 口琴 狂響 狂響逗嘴鼓 高雄 社區大學 半音階 編曲
38,歐純伶,Chun-Ling Ou,個人,臺灣,臺灣/臺北,狂響口琴樂團成員與專職口琴教師/逾十年中小學及成人教育教學/2008全球華人HOHNER盃三重奏冠軍與SUZUKI盃複音獨奏冠軍/2012亞太口琴節複音獨奏與伴奏新秀雙冠/2016韓國口琴節與2023至2025臺灣口琴音樂大賽評審及演出,複音口琴/口琴重奏與合奏,演出人員/專職教育者/賽事評審/狂響口琴樂團成員,https://www.facebook.com/oulingou/,,,,,,https://oulingou.pixnet.net/blog,口琴,歐純伶 Chun-Ling Ou 狂響口琴樂團 複音 HOHNER SUZUKI APHF 雙料冠軍 韓國口琴節 THMF 評審 教學
39,林士傑,Shih-Chieh Lin,個人,臺灣,臺灣/臺北,1995年起投入口琴/狂響口琴樂團與口琴愛樂集成員/1999至2001臺灣口琴節半音階獨奏與重奏獲獎/2000與2010亞太口琴節重奏及大合奏獲獎/古典、探戈與臺灣經典曲目演出/口琴收藏,半音階口琴/口琴重奏與合奏,資深演出人員/樂團成員/口琴收藏家,https://www.facebook.com/lin.shi.jie.661489,https://www.instagram.com/musette585/,,,https://www.threads.net/@musette585,,https://www.jazz9.tw/2025/05/music-20260516p.html,口琴,林士傑 Shih-Chieh Lin 半音階 狂響口琴樂團 口琴愛樂集 1999 2000 2001 2010 APHF 探戈 口琴收藏
40,陳鴻儀,Henry Chen,個人,臺灣,臺灣/基隆/宜蘭,複音口琴演奏與編曲/多次全國學生音樂比賽與亞太口琴節評審/曾任基隆市口琴協會理事長/東光國中、仁愛國小、樂齡中心與社區大學口琴教學/《複音口琴教本》編著,複音口琴/十孔口琴/半音階口琴/口琴重奏與合奏,演出人員/評審/教育者/教材作者/協會前理事長,,,https://www.youtube.com/@HenrysHarmonica,,,,https://kcu.twcu.org.tw/course/m_course_detail.php?u=f5fbc46e1198f1d957519223b6068dc8,口琴,陳鴻儀 Henry Chen 就是吹口琴 複音口琴 教本 編曲 基隆 社區大學 東光國中 亞太口琴節 評審
41,邱榮東,Rong-Dong Chiu,個人,臺灣,臺灣/臺北/新北/基隆,十孔口琴演奏與一對一教學/1999、2001、2003臺灣口琴節十孔組冠軍/2000臺灣口琴節十孔組亞軍/藍調、鄉村、愛爾蘭、爵士與流行曲風/2017世界口琴節參賽觀摩,十孔口琴/藍調口琴,演出人員/教育者/臺灣口琴節得獎者,,,https://www.youtube.com/@refresh871,,,,https://bonbonmusic.com/course/view_course/115,口琴,邱榮東 Rong-Dong Chiu 老頭 十孔口琴 藍調 台灣口琴節 冠軍 1999 2001 2003 WHF 2017 教學
42,王心禾,Hsin-Ho Wang,個人,臺灣,臺灣,胖擊口琴樂團/半音階/THMF 2026/WHF與SIHF重奏,半音階口琴/重奏,演出人員/重奏團員,,https://www.instagram.com/harmonica_wang/,,,https://www.threads.net/@harmonica_wang,,https://www.taiwanharmonica.com/punch,,王心禾 口琴 胖擊 Punch THMF 2026 WHF SIHF 半音階
43,林裕豐,Yu-Feng Lin,個人,臺灣,臺灣,胖擊口琴樂團/半音階/THMF 2026/WHF與SIHF重奏/教學,半音階口琴/重奏,演出人員/教育者/重奏團員,,https://www.instagram.com/yf__life/,https://www.youtube.com/@YFHarmonica,,,,https://harmonica.tw/course/yufeng/,口琴,林裕豐 口琴 胖擊 Punch THMF 2026 WHF SIHF 半音階 教學
44,陳聰,Tsung Chen,個人,臺灣,臺灣,倍低音口琴/胖擊口琴樂團/THMF 2026/WHF與SIHF重奏,倍低音口琴,演出人員/重奏團員,https://www.facebook.com/chen.cong.199678/,,,,,,https://www.taiwanharmonica.com/punch,,陳聰 口琴 倍低音 胖擊 Punch Harmonica THMF 2026 WHF SIHF
45,吳采容,Wu Tsai Rung,個人,臺灣,臺灣,半音階與複音口琴/2019 SIHF Seoul Major Prize/青年演奏與國際賽事,半音階口琴/複音口琴,演出人員/國際賽事得獎者,,https://www.instagram.com/aurora._.harmonica/,,,,,https://laelapsharmonica.com/zh/laelaps-club/wu-tsai-rung/,口琴,吳采容 Wu Tsai Rung chromatic tremolo harmonica SIHF 2019 Seoul Major Prize
46,廖苡晴,Alysa Liao,個人,臺灣,臺灣,半音階獨奏／111 Duo／111 Trio／111 Quintet／國際比賽,半音階,演出人員,,https://www.instagram.com/__yich___/,https://www.youtube.com/@alysaliao,,https://www.threads.net/@__yich___,,https://laelapsharmonica.com/zh/laelaps-club/alysa-liao/,口琴,廖苡晴 Alysa Liao 111 Duo 111 Trio 111 Quintet 世界口琴節 口琴
47,陳柏宏,Po-Hung Chen,個人,臺灣,臺灣/臺中,複音與半音階口琴/2024 SIHF複音獨奏青少年組冠軍/2023 THMF複音獨奏公開組冠軍/博凱愛樂演出,複音口琴/半音階口琴,演出人員/臺中市街頭藝人/國際賽事得獎者,,https://www.instagram.com/chen._.166/,https://www.youtube.com/channel/UC6XjefSoJNiEjSni3vZ-wsA,,,,https://buskers.taichung.gov.tw/index.php?inter=busker_intro&page=154&kind_1=1&id=A1140404,口琴,陳柏宏 Po Hung Chen SIHF 2024 THMF 2023 博凱愛樂 臺中街頭藝人 A1140404
48,吳詠隆,"WU,Yung-Lung",個人,臺灣,臺灣,班多鈕/跨界合作,班多鈕,合作音樂家,https://www.facebook.com/markwu.bandoneon/,,https://www.youtube.com/@markbandoneon,,,,https://wuyunglungbn.weebly.com/,口琴,吳詠隆 班多鈕 口琴
49,Aiden N Evelyn / Aiden Soon & Evelyn Choong,Aiden N Evelyn,團體,馬來西亞,馬來西亞,二重奏/影片/THMF/SIHF 2026,半音階/重奏,國際演出團體/二重奏,https://www.facebook.com/AidenNEvelyn/,https://www.instagram.com/aidennevelyn/,https://www.youtube.com/c/aidennevelyn,,,,https://linktr.ee/aidennevelyn,,Aiden N Evelyn Aiden Soon Evelyn Choong harmonica SIHF 2026
50,Aiden Soon,Aiden Soon,個人,馬來西亞,馬來西亞,世界口琴冠軍/演出/教學/個人帳號,半音階/口琴,國際演出人員/教育者,,https://www.instagram.com/aidensoon/,,,,,,,Aiden Soon aidensoon World Harmonica Champion Aiden N Evelyn harmonica
51,唐雪婷 Sharene Tang,Sharene Tang,個人,馬來西亞,馬來西亞,世界口琴冠軍/演出/教學/國際郵輪演出,半音階/口琴,國際演出人員/教育者,https://www.facebook.com/sharenetang.fresco/,https://www.instagram.com/sharene.harmonica/,https://www.youtube.com/@Shareneharmonicamusic,,,,,,唐雪婷 Sharene Tang sharene.harmonica World Harmonica Champion Fresco harmonica
52,Fourtissimo Harmonica Ensemble,Fourtissimo Harmonica Ensemble,團體,馬來西亞,馬來西亞,青少年口琴重奏/演出/交流,口琴重奏/合奏,國際演出團體/青年團體,,https://www.instagram.com/fourtissimo_harmonica_ensemble/,,,,,,,Fourtissimo Harmonica Ensemble fourtissimo_harmonica_ensemble four teenagers harmonica Malaysia
53,Leafin Harmonica Ensemble,Leafin Harmonica Ensemble,團體,馬來西亞,馬來西亞,青年口琴重奏/大學與社區舞台/2025世界口琴節成人三重奏第七名（優秀評等）/2026亞太口琴節兩金一銀,口琴三重奏/口琴合奏,國際演出團體/青年團體,https://www.facebook.com/61573180934784/,https://www.instagram.com/_leafin_harmonicaensemble/,,,,,https://worldharmonicafestival.de/wp-content/uploads/2025/11/whf-2025_final-results.pdf,,Leafin Harmonica Ensemble Malaysia harmonica youth trio WHF 2025 seventh outstanding APHF 2026 two gold one silver
54,CY Leo 何卓彥,CY Leo,個人,香港,香港,古典與爵士半音階/2009、2013 WHF獨奏世界冠軍/作曲與創作歌手/國際管弦樂協演/電影、流行與遊戲錄音/口琴教材,半音階口琴,國際演出人員/作曲家與創作歌手/評審/Music Lab聯合藝術總監,https://www.facebook.com/Cyleoharmonica/,https://www.instagram.com/cy_leo/,https://www.youtube.com/@cyleoharmonica,,,,https://www.cyleomusic.io/profile,,CY Leo 何卓彥 harmonica WHF 2009 2013 classical jazz composer Ginger Muse Music Lab
55,梁承熹 Kelvin Leung,Kelvin Leung,個人,香港,香港,英皇書院口琴隊出身/2012亞太口琴節六重奏冠軍/2013世界口琴節半音階獨奏與大合奏冠軍及團體季軍/2014亞太口琴節半音階公開組冠軍/2010上海世博與國際音樂節演出/2016首爾國際口琴節及亞太口琴節評審/香港青少年口琴教育,半音階口琴/口琴六重奏與大合奏,國際演出人員/教育者/國際賽事評審/世界與亞太冠軍,https://www.facebook.com/kelvinleungsh/,https://www.instagram.com/sorhei/,https://www.youtube.com/@KelvinLeungharmonica,,,,https://harmonica-kelvin.weebly.com/biography.html,,梁承熹 Kelvin Leung Shing Hei King's College WHF 2013 chromatic champion APHF 2012 2014 SIHF 2016 judge Hong Kong
56,蔡偉鏗 Harry Choi,Harry Choi,個人,香港,香港,半音階獨奏/2009 WHF成人組冠軍/2012 APHF與2013 WHF二重奏冠軍/Duo Volce與RedBricks共同創辦/兒童教學,半音階口琴,國際演出人員/口琴教師/APHF與SIHF評審/樂團共同創辦人,,,,,,,https://www.duovolce.com/harry-choi,,蔡偉鏗 Harry Choi harmonica WHF APHF SIHF Duo Volce RedBricks teacher
57,山下伶 Rei Yamashita,Rei Yamashita,個人,日本,日本/東京/橫濱,專業半音階口琴演奏與教學/師承德永延生/2014第34屆FIH JAPAN口琴大賽總冠軍/2016《Beautiful Breath》主流唱片出道/《Dear Darling》獲JAZZ JAPAN AWARD 2018製作企劃獎/2018與2019首爾國際口琴節評審及嘉賓/2025大阪關西世博演出,半音階口琴/爵士口琴,國際演出人員/教育者/錄音藝術家/國際賽事評審,https://www.facebook.com/rei.yamashita.5,https://www.instagram.com/rei_harmonica/,https://www.youtube.com/@reiyamashita,https://x.com/rei_harmonica,,,https://www.rei-yamashita.com/profile/,,山下伶 Rei Yamashita chromatic harmonica FIH JAPAN Grand Prix Beautiful Breath Dear Darling JAZZ JAPAN AWARD SIHF Osaka Expo 2025
58,南里沙,Minami Risa,個人,日本,日本,半音階/專輯/YouTube直播/THMF交流/2026 琴韻東坡・簧鳴西南,半音階,國際演出人員,https://www.facebook.com/minamirisa/,https://www.instagram.com/minami_risa/,https://www.youtube.com/@minamirisa,https://x.com/minami_risa,,https://www.tiktok.com/@minami_risa,https://minamirisa.com/,,南里沙 Minami Risa Risa MINAMI harmonica クロマチックハーモニカ 琴韻東坡 簧鳴西南 2026
59,千賀太郎,Taro Senga,個人,日本,日本/東京,兩歲開始吹口琴/與父親組成Blind Lemon Brothers/美式藍調融合東方細膩音色/MONSTER TAI-RIKU與NONMALT/FUJI ROCK、SUMMER SONIC等音樂節/2025臺灣口琴音樂節,十孔口琴/藍調口琴/歌唱,國際演出人員/藍調口琴家/樂團成員,,https://www.instagram.com/taro_senga/,,,,,https://www.taiwanharmonica.com/taro,,千賀太郎 Taro Senga harmonica Blind Lemon Brothers MONSTER TAI-RIKU NONMALT FUJI ROCK SUMMER SONIC THMF 2025
